"","x"
"1",7.540595615
"2",7.86085225136466
"3",8.1778739722105
"4",8.49166077753749
"5",8.80221266734565
"6",9.10952964163498
"7",9.41361170040547
"8",9.71445884365712
"9",10.0120710713899
"10",10.3064483836039
"11",10.5975907802991
"12",10.8854982614754
"13",11.1701708271329
"14",11.4516084772715
"15",11.7298112118913
"16",12.0047790309923
"17",12.2765119345744
"18",12.5450099226377
"19",12.8102729951822
"20",13.0723011522079
"21",13.3310943937147
"22",13.5866527197026
"23",13.8389761301717
"24",14.088064625122
"25",14.3339182045535
"26",14.5765368684661
"27",14.8159206168599
"28",15.0520694497349
"29",15.284983367091
"30",15.5146623689283
"31",15.7411064552467
"32",15.9643156260463
"33",16.1842898813271
"34",16.4010292210891
"35",16.6145336453322
"36",16.8248031540564
"37",17.0318377472619
"38",17.2356374249485
"39",17.4362021871163
"40",17.6335320337652
"41",17.8276269648953
"42",18.0184869805066
"43",18.206112080599
"44",18.3905022651726
"45",18.5716575342274
"46",18.7495778877633
"47",18.9242633257804
"48",19.0957138482786
"49",19.263929455258
"50",19.4289101467186
"51",19.5906559226604
"52",19.7491667830833
"53",19.9044427279874
"54",20.0564837573726
"55",20.205289871239
"56",20.3508610695866
"57",20.4931973524153
"58",20.6322987197252
"59",20.7681651715163
"60",20.9007967077885
"61",21.0301933285419
"62",21.1563550337765
"63",21.2792818234922
"64",21.3989736976891
"65",21.5154306563672
"66",21.6286526995264
"67",21.7386398271668
"68",21.8453920392884
"69",21.9489093358911
"70",22.049191716975
"71",22.14623918254
"72",22.2400517325862
"73",22.3306293671136
"74",22.4179720861222
"75",22.5020798896119
"76",22.5829527775828
"77",22.6605907500348
"78",22.734993806968
"79",22.8061619483824
"80",22.8740951742779
"81",22.9387934846546
"82",23.0002568795125
"83",23.0584853588515
"84",23.1134789226717
"85",23.1652375709731
"86",23.2137613037556
"87",23.2590501210193
"88",23.3011040227641
"89",23.3399230089902
"90",23.3755070796973
"91",23.4078562348857
"92",23.4369704745552
"93",23.4628497987059
"94",23.4854942073377
"95",23.5049037004508
"96",23.5210782780449
"97",23.5340179401203
"98",23.5437226866768
"99",23.5501925177144
"100",23.5534274332333
